username,H_mean,H_std,H_med,H_mad,UD_mean,UD_std,UD_med,UD_mad,DD_mean,DD_std,DD_med,DD_mad,char_count,cadence_ppm,pause_frac_gt800
jawad,120.4570756,5.084006358,121.0574366,6.470282358,0.200979296,0.001978205,0.2022577,0.008837574,0.179663977,0.003469561,0.188457957,0.017777919,140,215.636206,0.129350187
jawad,118.7110613,5.647500314,117.9439552,6.439225151,0.239001482,0.013151376,0.232192186,0.024225413,0.17690941,0.007716722,0.173388075,0.015323092,141,212.0636631,0.12861642
jawad,123.2124714,5.337433993,122.8026772,5.593113636,0.252319588,0.026289723,0.251180114,0.003598435,0.163510376,0.018505928,0.170942917,0.015431543,136,211.1608066,0.122333716
jawad,120.3280329,5.848571511,120.5069093,6.339456782,0.241351581,0.017891194,0.247664464,0.002571558,0.173606576,0.007296273,0.167217797,0.007248577,147,205.6708444,0.139365567
jawad,117.4756953,5.366045988,117.6058978,6.293111166,0.254224532,0.022933472,0.250737281,0.007376482,0.197159518,0.010086957,0.184402654,0.001332872,135,212.4858037,0.122848515
jawad,121.035728,5.329098941,121.1625598,6.312795197,0.233813069,0.019567752,0.22719381,0.008369462,0.172365242,4.16E-05,0.177234967,0.005305977,140,212.4037333,0.128930624
jawad,120.9980777,5.460605806,120.659439,5.960140895,0.206253311,0.000528875,0.193026315,0.002027532,0.187995485,0.002945209,0.184213859,0.022992283,138,213.6875778,0.101327646
jawad,119.6918437,5.119991178,119.4206172,6.420154069,0.205453592,0.019344236,0.207830948,0.0060585,0.151078843,0.012721295,0.145783916,0.012326762,140,218.0088945,0.115212887
jawad,118.4647538,5.571710254,118.6407511,6.679593788,0.256702225,0.018568711,0.271335254,0.000112369,0.167204969,0.002734241,0.163306871,0.003766861,143,208.8888865,0.090583874
jawad,118.4766314,5.625405539,119.1471326,6.998365446,0.298277249,0.019144094,0.288381868,0.009320463,0.185354229,0.003870589,0.181200657,0.003879032,139,215.3299012,0.123140971
jawad,119.7620477,5.085738499,118.4223014,5.756846045,0.238924349,0.032679299,0.240227094,0.021827395,0.170014088,0.000150562,0.16036292,0.002747739,150,205.8930666,0.136769784
jawad,118.6456092,5.872629205,118.95357,5.921681051,0.239184749,0.008452123,0.243645471,0.007450165,0.155487885,0.000779376,0.157213764,0.025790913,140,209.4068084,0.125716523
alice,112.9590026,5.087753001,112.6302608,5.753144355,0.228575129,0.02935756,0.230407473,0.00124469,0.142636816,0.027509279,0.159873473,0.007204808,133,227.3072215,0.067859086
alice,109.6579095,5.257330718,109.3422254,5.197439067,0.216731142,0.017375745,0.230805961,0.011905849,0.182878776,0.009501721,0.182391592,0.000567697,128,215.6092382,0.083317531
alice,112.3738538,4.469442913,112.398359,4.957915283,0.213446538,0.024027578,0.218827692,0.024373981,0.166909886,0.004040574,0.164671298,0.011424968,135,214.5780596,0.091809796
alice,111.3423425,6.006989615,112.8438182,4.773378325,0.214252333,0.00063442,0.208345263,0.01415605,0.194117072,0.003709162,0.187575608,0.01247289,134,214.6879279,0.079411211
alice,109.6847088,4.962294978,108.2785261,4.466477377,0.262584942,0.001125774,0.251617086,0.029369135,0.228101343,0.000715666,0.224418854,0.012415556,143,215.0657146,0.085094443
alice,112.1660064,5.17390643,111.8650815,5.133088518,0.192502084,0.011618263,0.189838209,0.013321699,0.158893456,0.015715385,0.169020614,0.010554293,136,220.2657767,0.090001688
alice,109.9176629,5.126597705,109.8398337,6.246584154,0.251467098,0.017858466,0.243836526,0.000124115,0.193822859,0.013627492,0.198624293,0.00844586,139,222.2721017,0.067791386
alice,110.2927128,5.105486882,110.3346862,5.053914407,0.217930235,0.011480226,0.21945586,0.02571492,0.118666831,0.008631497,0.120431955,0.01195994,133,211.2163911,0.09655991
alice,113.5910253,4.386455438,114.2820877,5.035737388,0.218773513,0.003471015,0.215428951,0.024000446,0.181653105,0.028323116,0.193427224,0.013390867,143,222.1949658,0.106559764
alice,110.5551436,5.026618326,109.9972045,5.694791967,0.196433928,0.021823503,0.194527417,0.022712471,0.18501738,0.029206462,0.192325127,0.006720403,134,214.139964,0.079634403
alice,113.2668426,5.255013524,112.7076983,4.693141317,0.220655642,0.001834399,0.213944239,0.014120095,0.193106241,0.017087615,0.170193346,0.012043667,135,222.0694514,0.122324194
alice,107.9051426,4.76355863,108.3778676,4.4092028,0.249518981,0.017683566,0.257984821,0.005290563,0.186275274,0.021684716,0.188604054,0.011344009,136,215.6832737,0.087049426
bob,129.7712162,6.153357546,130.5710756,5.870731959,0.247499819,0.030814555,0.240063937,0.0037775,0.194046124,0.021443852,0.194160384,0.024289606,154,204.2091003,0.15108233
bob,133.4914797,5.917935324,131.8886618,7.202127181,0.240846011,0.017078804,0.253941518,0.004022595,0.164967056,0.003012779,0.157025693,0.015396366,152,201.3813709,0.111744682
bob,126.5348448,6.021741434,126.157424,6.629692886,0.264039073,0.017382414,0.271640403,0.014292114,0.200601294,0.005953267,0.19880518,0.012967761,154,198.0312941,0.150423345
bob,129.6012418,5.952983133,130.264857,5.403469814,0.224070553,0.001178146,0.200734392,0.005217356,0.204988678,0.010151159,0.206966579,0.021892175,156,199.6543103,0.167071718
bob,130.13819,5.66504071,129.6626697,5.659731744,0.232237323,0.012419833,0.240273173,0.029207698,0.16235637,0.016928275,0.15195093,0.015746971,149,190.8454709,0.15856594
bob,129.0924989,5.786439905,128.236697,6.072858362,0.258557809,0.014107557,0.261844429,0.015619219,0.216413233,0.009572138,0.201644655,0.021672224,148,205.5729622,0.147667542
bob,129.8032937,6.139510358,131.3641038,7.438490265,0.251387623,0.017601906,0.262150024,0.00354339,0.196661407,0.012741372,0.19980049,0.002666312,142,189.6350828,0.117652318
bob,129.3119871,5.882723365,130.861772,6.952996685,0.230758178,0.019477085,0.226687395,0.009156362,0.193706513,0.019191711,0.190313928,0.021638515,144,200.0316953,0.191953475
bob,130.3346196,6.573285803,130.4078358,6.690388548,0.248864336,0.014295924,0.241069512,0.016303014,0.172969256,0.019655852,0.183822126,0.014665314,148,202.2698279,0.133826539
bob,131.4033207,5.267437566,131.1348348,5.404594002,0.220098783,0.029638622,0.229050633,0.004805198,0.159949931,0.016645288,0.154514976,0.03520415,152,197.2021386,0.149301604
bob,127.6585625,5.881070655,127.7381444,6.356949674,0.265816122,0.019446452,0.272499383,0.005116277,0.207956308,0.029289369,0.198254813,0.002123043,156,199.0432801,0.168076428
bob,129.3361964,6.582018231,129.4413851,6.529114412,0.28129436,0.012382295,0.271883139,0.007514358,0.199046679,0.002657591,0.205421388,0.005612287,155,188.0286985,0.124268684
jawad,124.85,74.96819914,125.55,45.40000001,53.70000001,89.53281521,3.600000024,3.400000006,87.04705882,88.17353711,73.19999999,50.40000001,18,689.2823355,0
jawad,93.49545454,44.62162061,81.3,36.75,8.299999988,10.12151175,5.899999976,4.699999988,36.26666667,31.92013993,36,30.90000001,22,1654.411765,0
jawad,79.75,21.84959956,79.75,15.45000002,100.5,0,100.5,0,195.7,0,195.7,0,2,306.591722,0
jawad,122.1777778,89.22320014,93.30000001,76.30000001,0.549999997,0.212132022,0.549999997,0.149999991,62.3375,74.62425759,34.75,33.90000001,9,962.5025065,0
jawad,99.90465116,53.63647903,92.30000001,29,24.52916667,21.90712568,21.09999999,19.95,86.75952381,51.34720198,88.59999999,26.14999999,43,691.566728,0
jawad,109.0909091,63.31236928,106.35,33.05000001,23.725,26.96310751,20.80000001,20.05000001,47.07619048,45.18052573,41.30000001,39.70000002,22,1274.529638,0
jawad,1597.6,0,1597.6,0,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan
jawad,112.0166667,17.09491329,115.4,6.199999988,48.7,67.17514419,48.7,47.49999999,81.78181818,48.15009487,83.5,12,12,733.6594042,0
jawad,37.92,11.77675677,36.40000001,9.400000006,104.5,5.950630222,104.4,5.800000012,108.525,69.59929957,138.65,7.849999994,5,552.8680028,0
jawad,892.6,0,892.6,0,nan,nan,nan,nan,nan,nan,nan,nan,1,nan,nan
jawad,125.2857143,34.25440696,124.65,19.80000001,0.5,0,0.5,0,44.60769231,30.28243334,41.79999998,20.09999999,14,1345.059493,0
jawad,157.24,81.18785076,150.1,43.04999998,0.299999982,0,0.299999982,0,68.74444444,65.66197741,70.90000001,17.19999999,10,872.7978019,0
ali,161.0484848,89.60128389,149.1,28.90000001,112.7133333,177.2255216,60,23.79999998,160.84375,165.9877452,121.5,78.00000001,33,373.0328347,0.03125
ali,142.6491525,64.23151384,137.2,28.29999998,142.0526316,174.017098,103.8,76,123.3344828,152.1604192,70.45,64.84999999,59,486.4819526,0.017241379
ali,151.295,79.1351844,140.75,46.15000001,102.6583333,102.6136395,99.5,75.55000001,115.1923077,115.4124991,71.5,48.69999999,40,520.8681135,0
ali,127.5428571,28.59880886,124.5,18.80000001,125.9909091,59.96914965,119.1,30.5,214.6230769,93.34741697,235.3,34.19999999,14,279.5598724,0
ali,126.7641026,31.65258356,123.3,15.20000002,113.4625,114.1361065,92.05,54.05000001,215.6394737,105.3264514,197.35,40.89999999,39,278.2421927,0
ali,130.6470588,25.05214855,122.4,15,113.5454545,80.90771735,91.80000001,31.40000001,199.58125,84.99653498,185,39.05,17,300.6294429,0
ali,129.9333333,27.48180351,127.3,20.20000002,107.15,82.48623118,85.25,31.7,192.5857143,86.28237058,193.55,37.7,15,311.5495883,0
ali,144.3083333,32.24740886,135.65,23.40000001,129.4555556,119.2026962,96.90000001,94.5,239.1272727,138.660067,223.3,106.5,12,250.9124088,0
ali,132.34,26.25206199,130.05,21.85000001,111.71,101.4178947,96.24999999,48.19999999,196.5103448,107.1977956,168.9,45.80000004,30,305.3274374,0
ali,137.6538462,28.58311713,136.8,16.60000001,107.76875,157.1247603,45.15000001,44.25000001,189.524,141.7713807,154.4,64.00000003,26,316.5825964,0
ali,128.7538462,31.41614806,124.6,15.49999997,177.6090909,438.6804975,51.69999999,31.59999999,290.35,420.506276,189.6,31.75000001,13,206.64715,0.083333333
ali,132.9769231,20.09772739,134.1,10.2,176.268421,314.6879231,65.90000001,45.69999999,257.4,289.3250306,169,48.29999998,26,233.1002331,0.04
ali,137.47,34.22260948,128.95,13.84999999,92.1,98.29104473,80.40000001,47.34999999,188.8275862,95.85452853,174.8,48.59999999,30,317.7501826,0
ali,135.1142857,23.81762553,137,18.59999999,280.1928571,331.777969,116.35,80.40000001,319.245,315.0658085,208.95,80.84999999,21,187.943429,0.1
ali,122.1391304,20.81096169,125.2,14.00000003,90.9,56.82497104,92.8,45.2,180.05,64.44672772,171.15,50.49999999,23,333.2407665,0
ali,102.7954545,28.6980251,102.75,13.29999998,121.65,157.1896558,52,50,211.547619,166.4179126,141,52.30000001,22,283.6240855,0
abdullah,104.4714286,33.90173007,103.9,14.5,269.92,431.8096871,97.30000001,75.90000001,363.2807692,445.3573253,183.55,70.25,28,165.1615089,0.153846154
abdullah,107.1368421,23.12639691,102.4,15.90000001,54.14117647,35.00337589,62.90000001,23.09999999,157.0611111,51.69242906,154.25,34.94999999,19,382.0169078,0
abdullah,98.485,25.77904647,100.75,10.5,80,98.15242115,56.5,40.5,178.9315789,110.198997,138.1,36.69999999,20,335.323705,0
abdullah,110.4263158,62.66748973,99.80000001,11.5,107.2625,124.5291927,74.64999999,42.55000001,193.1277778,125.1726046,155.2,35.3,19,310.6751431,0
abdullah,102.5947368,20.80444594,103.7,10.20000002,66.02941176,44.79892249,66.90000001,29.70000002,165.5666667,50.3469492,148.65,17.55000001,19,362.3917858,0
abdullah,97.675,31.77970015,95.80000001,23.09999996,71.38421053,99.1226864,47,30.20000002,169.3789474,105.9486803,146.8,29.30000001,20,354.2352868,0
abdullah,103.7157895,15.09195014,104.3,9,105.8277778,137.7746276,57.65000001,55.15000001,210.7833333,137.6852474,149.45,43.05000001,19,284.6524868,0
abdullah,102.752381,18.12844778,104.8,8.900000006,67.8117647,57.2961046,55.19999999,52.19999999,157.185,62.69086456,137.5,46.59999998,21,381.7158126,0
abdullah,111.2315789,31.83113522,104.6,15.70000002,62.35,36.99317055,60.59999999,21.64999999,165.9111111,44.09117411,160.9,17.44999999,19,361.6394321,0
abdullah,108.2333333,58.70113571,105.6,21.09999999,67.745,65.85363735,40.39999999,21.64999999,177.46,100.7707111,164.55,35.74999999,21,338.1043615,0
abdullah,113.6826087,22.84303459,112.1,14.80000001,121,116.535265,81.40000001,55.09999999,227.8045455,112.8027924,209.1,63.09999999,23,263.3836822,0
abdullah,106.4473684,34.26818039,105,12.29999998,89.4875,98.49010695,54.60000001,44.15000001,183.2277778,100.6070153,150.05,42.34999999,19,327.4612656,0
abdullah,115.2210526,34.63666296,113.5,20.60000002,64.14117648,80.78805651,35.90000001,33.60000002,174.7277778,85.58672799,160.35,31.65000001,19,343.3913071,0
ab,176.22000000476837,43.458393900157326,167.69999998807907,25.499999970197678,306.47499999403954,84.28892275411465,331.5499999821186,32.1000000089407,481.0,118.31390450225156,499.25,71.84999999403954,5.0,124.74012474012474,0.0
ab,43.8088235302883,10.031809034622803,41.85000002384186,5.6500000059604645,50.90909090818781,132.33615190986595,1.4000000059604645,0.7000000178813934,94.98787878769816,130.9214381727348,45.5,8.900000005960464,34.0,631.6595418885232,0.0
ab,47.44444444444444,18.911806112052453,42.80000001192093,8.000000029802322,48.534615384844635,112.90696326538351,1.2999999970197678,0.7999999970197678,96.40000000022926,116.14753376570799,45.0,9.500000014901161,27.0,622.4066390026692,0.0
ab,37.50425531635893,11.13138839765978,35.80000001192093,5.100000023841858,52.88478261167588,118.17950370721309,1.5499999970197678,0.6500000059604645,90.42391304347827,120.15180987147022,37.95000000298023,5.750000014901161,47.0,663.5412910205554,0.0
ab,44.193181817504495,16.592831146611772,39.95000000298023,7.900000020861626,48.96046511724938,108.64846138455115,1.5,1.0,93.48837209302326,118.3230630210648,41.0,7.5999999940395355,44.0,641.7910447761194,0.0
ab,43.269230771523254,18.285688300998814,35.099999994039536,5.899999976158142,37.757894734802996,94.15071480588333,1.199999988079071,0.4999999850988388,80.73684210526316,104.15045619032219,36.0,5.200000002980232,39.0,743.1551499348109,0.0
ab,44.49642857377018,18.076841787111807,37.900000005960464,7.299999982118607,38.133333330904996,88.53954353270738,2.0999999940395355,1.199999988079071,82.95185185141034,96.29755716295197,41.900000005960464,7.5999999940395355,28.0,723.3111577481906,0.0
ab,46.784615385990875,14.40740925121229,41.900000005960464,5.199999988079071,46.81578947211567,107.16461327516306,1.0999999940395355,0.3999999910593033,93.89210526331475,109.77422378142487,45.400000005960464,6.700000002980232,39.0,639.0313629855633,0.0
ab,43.78235294363078,19.39717990036889,36.20000000298023,7.549999982118607,34.05151514934771,89.5340197942835,1.0999999940395355,0.5999999940395355,77.88484848539035,104.76409845452372,38.900000005960464,8.0,34.0,770.3680647366838,0.0
ab,40.44999999552965,10.809374666939275,39.75000001490116,5.1500000059604645,42.58709677861583,106.88261393309017,1.0,0.5,83.05806451555222,107.56826289745473,42.400000005960464,6.699999988079071,32.0,722.3862047587841,0.0
ab,42.8093023265517,16.782073966097613,38.599999994039536,7.799999982118607,33.288095237243745,82.90151724933395,1.0,0.4000000059604645,75.94523809566384,88.08586499109535,39.3999999910593,7.899999991059303,43.0,790.0429507432902,0.0
ab,49.26896551559712,26.088997453535313,43.29999998211861,11.299999982118607,45.65555555621783,85.56234943343199,1.699999988079071,0.8999999761581421,92.28928571407285,97.14195546008807,44.400000005960464,13.550000011920929,29.0,650.1296389473607,0.0
ab,47.85199999809265,18.74286797845052,40.099999994039536,8.300000011920929,41.416666669150196,79.70179566543092,1.1500000208616257,0.7000000178813934,89.94583333283663,92.99505821200177,42.5,8.799999997019768,25.0,667.0681428674443,0.0
ab,43.07096774155094,12.333293516330277,42.400000005960464,8.900000005960464,36.11666666666667,70.89125272381544,2.2000000029802322,1.1000000089406967,79.45,65.89962456316891,50.75,10.099999994039536,31.0,755.1919446192574,0.0
ab,41.46333333551884,17.85453643081041,39.0,9.199999988079071,44.30689654884667,83.66896476781865,2.0,1.2000000178813934,85.78620689593512,82.54014488316685,45.29999998211861,13.299999982118607,30.0,699.4131361092155,0.0
ab,141.8688888867696,26.549951395111613,139.2999999821186,17.799999982118607,370.68181818385017,100.38258737221923,347.29999999701977,44.5,511.3204545453191,105.06941576703555,493.04999999701977,57.29999999701977,45.0,117.3432423182713,0.0
