brand,model,transmission,make_year,fuel_type,engine_capacity(CC),km_driven,ownership,price,overall_cost,has_insurance,spare_key,reg_year_only
6,656,1,2020,1,2184.0,11003.0,1,1231000,23431.0,0.0,0,2021.0
3,705,1,2018,3,1591.0,66936.0,1,786000,15359.0,0.0,0,2018.0
12,324,1,2022,1,1956.0,27990.0,1,1489000,28349.0,0.0,0,2022.0
2,131,0,2023,3,1498.0,5061.0,1,1227000,23355.0,0.0,1,2023.0
1,212,1,2021,1,1498.0,23480.0,1,887000,16883.0,0.0,0,2021.0
2,736,1,2021,3,1199.0,44787.0,1,796000,15561.0,0.0,0,2021.0
12,482,1,2022,3,1199.0,450.0,1,813000,15475.0,0.0,1,2022.0
12,432,0,2020,1,1197.0,59866.0,1,728000,14228.0,0.0,0,2021.0
6,786,0,2022,1,2184.0,62567.0,1,2322000,44197.0,0.0,0,2022.0
1,210,0,2019,3,1497.0,58503.0,1,766000,14977.0,0.0,0,2019.0
7,197,1,2018,3,1197.0,58159.0,1,471000,9217.0,0.0,0,2018.0
3,274,1,2023,3,1197.0,15568.0,1,689000,13470.0,0.0,0,2023.0
12,659,1,2023,3,1199.0,6676.0,1,536000,10480.0,0.0,0,2023.0
3,158,1,2018,3,1197.0,59085.0,1,823000,15657.0,0.0,0,2018.0
7,26,1,2018,3,998.0,52966.0,1,310000,6068.0,0.0,1,2018.0
3,702,1,2020,1,1582.0,60592.0,1,993000,18901.0,0.0,1,2020.0
7,29,0,2014,3,998.0,71297.0,1,265000,5901.0,0.0,0,2015.0
2,39,1,2022,3,1199.0,15935.0,1,699000,13666.0,0.0,0,2022.0
5,547,1,2021,1,1493.0,71040.0,1,980000,18653.0,0.0,0,2021.0
3,268,1,2023,3,1197.0,2850.0,1,710000,13881.0,0.0,0,2023.0
8,314,0,2022,3,1451.0,26999.0,1,1652000,31444.0,0.0,0,2022.0
12,630,1,2023,3,1199.0,12096.0,1,590000,11529.0,0.0,0,2024.0
2,142,0,2017,3,1497.0,65434.0,2,787000,15392.0,0.0,0,2017.0
3,719,1,2020,1,1493.0,48995.0,1,1060000,20176.0,0.0,1,2020.0
1,265,1,2018,3,1194.0,66584.0,1,495000,9675.0,0.0,0,2018.0
7,116,1,2020,3,1462.0,24961.0,1,878000,16712.0,0.0,0,2020.0
7,197,1,2019,3,1197.0,33972.0,1,514000,10041.0,0.0,0,2019.0
12,667,1,2022,0,1199.0,22874.0,1,684000,13367.0,0.0,0,2022.0
7,204,1,2019,3,1197.0,109938.0,1,584000,12996.0,0.0,1,2019.0
7,33,1,2019,3,796.0,60452.0,1,316000,6174.0,0.0,0,2019.0
7,94,0,2016,3,998.0,32747.0,1,394000,7708.0,0.0,1,2016.0
5,87,0,2022,1,1493.0,34694.0,1,1654000,31482.0,0.0,0,2022.0
7,332,1,2019,3,1197.0,51244.0,1,472000,9224.0,0.0,1,2019.0
10,642,1,2023,3,999.0,6843.0,1,636000,12428.0,0.0,0,2024.0
1,214,0,2019,3,1496.0,20751.0,1,806000,15342.0,0.0,0,2019.0
12,481,0,2023,3,1199.0,16393.0,1,668000,13056.0,0.0,1,2023.0
2,142,0,2017,3,1497.0,74671.0,1,832000,15836.0,0.0,0,2017.0
3,708,1,2017,3,1591.0,94020.0,1,819000,15592.0,0.0,0,2017.0
6,776,0,2021,1,2179.0,25366.0,1,1400000,26644.0,0.0,0,2021.0
7,533,1,2020,0,998.0,75502.0,1,432000,8447.0,0.0,0,2020.0
12,445,1,2022,3,1199.0,22894.0,1,941000,17911.0,0.0,1,2022.0
12,666,1,2020,3,1199.0,42313.0,2,456000,8911.0,0.0,0,2020.0
12,4,1,2020,3,1199.0,58047.0,1,590000,11543.0,0.0,0,2020.0
7,108,1,2018,3,1462.0,76120.0,1,721000,14096.0,0.0,1,2018.0
3,793,1,2017,3,1197.0,60964.0,1,449000,8781.0,0.0,0,2017.0
12,662,1,2023,3,1199.0,17297.0,1,574000,11231.0,0.0,0,2023.0
10,645,1,2020,3,999.0,34646.0,1,594000,11618.0,0.0,0,2021.0
7,113,0,2018,3,1462.0,45254.0,2,687000,13431.0,0.0,0,2018.0
7,123,0,2022,3,1462.0,24062.0,1,1041000,19810.0,0.0,0,2022.0
3,294,1,2016,3,1197.0,28221.0,1,456000,8921.0,0.0,0,2016.0
7,753,1,2022,3,1462.0,43830.0,1,1196000,22765.0,0.0,0,2022.0
7,743,0,2016,3,998.0,21218.0,1,375000,7322.0,0.0,0,2016.0
3,421,1,2020,0,1086.0,62996.0,1,504000,9845.0,0.0,1,2020.0
7,752,0,2022,3,1462.0,40395.0,2,1152000,21927.0,0.0,0,2022.0
